id,source_type,records_collected,status,error_message,timestamp
1,database,0,error,"Execution failed on sql '
SELECT *
FROM books b
': no such table: books",2026-03-09 10:13:15
2,api,25,success,,2026-03-09 10:13:18
3,web,1,success,,2026-03-09 10:13:29
4,web,1,success,,2026-03-09 10:13:29
5,web,1,success,,2026-03-09 10:13:29
6,web,1,success,,2026-03-09 10:13:29
7,web,1,success,,2026-03-09 10:13:29
8,web,1,success,,2026-03-09 10:13:29
9,web,1,success,,2026-03-09 10:13:29
10,web,1,success,,2026-03-09 10:13:29
11,web,1,success,,2026-03-09 10:13:29
12,web,1,success,,2026-03-09 10:13:29
13,web,1,success,,2026-03-09 10:13:29
14,web,1,success,,2026-03-09 10:13:29
15,web,1,success,,2026-03-09 10:13:29
16,web,1,success,,2026-03-09 10:13:29
17,web,1,success,,2026-03-09 10:13:29
18,web,1,success,,2026-03-09 10:13:29
19,web,1,success,,2026-03-09 10:13:29
20,web,1,success,,2026-03-09 10:13:29
21,web,1,success,,2026-03-09 10:13:29
22,web,1,success,,2026-03-09 10:13:29
23,web,1,success,,2026-03-09 10:13:29
24,web,1,success,,2026-03-09 10:13:29
25,web,1,success,,2026-03-09 10:13:29
26,web,1,success,,2026-03-09 10:13:29
27,web,1,success,,2026-03-09 10:13:29
28,web,1,success,,2026-03-09 10:13:29
29,web,1,success,,2026-03-09 10:13:29
30,web,1,success,,2026-03-09 10:13:29
31,web,1,success,,2026-03-09 10:13:30
32,web,1,success,,2026-03-09 10:13:30
33,web,1,success,,2026-03-09 10:13:30
34,web,1,success,,2026-03-09 10:13:30
35,web,1,success,,2026-03-09 10:13:30
36,web,1,success,,2026-03-09 10:13:30
37,web,1,success,,2026-03-09 10:13:30
38,web,1,success,,2026-03-09 10:13:30
39,web,1,success,,2026-03-09 10:13:30
40,web,1,success,,2026-03-09 10:13:30
41,web,1,success,,2026-03-09 10:13:30
42,web,1,success,,2026-03-09 10:13:30
43,web,1,success,,2026-03-09 10:13:30
44,web,1,success,,2026-03-09 10:13:30
45,web,1,success,,2026-03-09 10:13:30
46,web,1,success,,2026-03-09 10:13:30
47,web,1,success,,2026-03-09 10:13:30
48,web,1,success,,2026-03-09 10:13:30
49,web,1,success,,2026-03-09 10:13:30
50,web,1,success,,2026-03-09 10:13:30
51,web,1,success,,2026-03-09 10:13:30
52,web,1,success,,2026-03-09 10:13:30
53,web,1,success,,2026-03-09 10:13:30
54,web,1,success,,2026-03-09 10:13:30
55,web,1,success,,2026-03-09 10:13:30
56,web,1,success,,2026-03-09 10:13:30
57,web,1,success,,2026-03-09 10:13:30
58,web,1,success,,2026-03-09 10:13:30
59,web,1,success,,2026-03-09 10:13:30
60,web,1,success,,2026-03-09 10:13:30
61,web,1,success,,2026-03-09 10:13:30
62,web,1,success,,2026-03-09 10:13:30
63,web,1,success,,2026-03-09 10:13:30
64,web,1,success,,2026-03-09 10:13:30
65,web,1,success,,2026-03-09 10:13:30
66,web,1,success,,2026-03-09 10:13:30
67,web,1,success,,2026-03-09 10:13:30
68,web,1,success,,2026-03-09 10:13:30
69,web,1,success,,2026-03-09 10:13:30
70,web,1,success,,2026-03-09 10:13:30
71,web,1,success,,2026-03-09 10:13:30
72,web,1,success,,2026-03-09 10:13:30
73,web,1,success,,2026-03-09 10:13:30
74,web,1,success,,2026-03-09 10:13:30
75,web,1,success,,2026-03-09 10:13:30
76,web,1,success,,2026-03-09 10:13:30
77,web,1,success,,2026-03-09 10:13:30
78,web,1,success,,2026-03-09 10:13:30
79,web,1,success,,2026-03-09 10:13:30
80,web,1,success,,2026-03-09 10:13:30
81,web,1,success,,2026-03-09 10:13:30
82,web,1,success,,2026-03-09 10:13:30
83,web,1,success,,2026-03-09 10:13:30
84,web,1,success,,2026-03-09 10:13:30
85,web,1,success,,2026-03-09 10:13:30
86,web,1,success,,2026-03-09 10:13:30
87,web,1,success,,2026-03-09 10:13:30
88,web,1,success,,2026-03-09 10:13:30
89,web,1,success,,2026-03-09 10:13:30
90,web,1,success,,2026-03-09 10:13:30
91,web,1,success,,2026-03-09 10:13:30
92,web,1,success,,2026-03-09 10:13:30
93,web,1,success,,2026-03-09 10:13:30
94,web,1,success,,2026-03-09 10:13:30
95,web,1,success,,2026-03-09 10:13:30
96,web,1,success,,2026-03-09 10:13:30
97,web,1,success,,2026-03-09 10:13:30
98,web,1,success,,2026-03-09 10:13:30
99,web,1,success,,2026-03-09 10:13:30
100,web,1,success,,2026-03-09 10:13:30
101,web,1,success,,2026-03-09 10:13:30
102,web,1,success,,2026-03-09 10:13:30
103,web,1,success,,2026-03-09 10:13:30
104,web,1,success,,2026-03-09 10:13:30
105,web,1,success,,2026-03-09 10:13:30
106,web,1,success,,2026-03-09 10:13:30
107,web,1,success,,2026-03-09 10:13:30
108,web,1,success,,2026-03-09 10:13:30
109,web,1,success,,2026-03-09 10:13:30
110,web,1,success,,2026-03-09 10:13:30
111,web,1,success,,2026-03-09 10:13:30
112,web,1,success,,2026-03-09 10:13:30
113,web,1,success,,2026-03-09 10:13:30
114,web,1,success,,2026-03-09 10:13:30
115,web,1,success,,2026-03-09 10:13:30
116,web,1,success,,2026-03-09 10:13:30
117,web,1,success,,2026-03-09 10:13:30
118,web,1,success,,2026-03-09 10:13:30
119,web,1,success,,2026-03-09 10:13:30
120,web,1,success,,2026-03-09 10:13:30
121,web,1,success,,2026-03-09 10:13:30
122,web,1,success,,2026-03-09 10:13:30
123,web,1,success,,2026-03-09 10:13:30
124,web,1,success,,2026-03-09 10:13:30
125,web,1,success,,2026-03-09 10:13:30
126,web,1,success,,2026-03-09 10:13:30
127,web,1,success,,2026-03-09 10:13:30
128,web,1,success,,2026-03-09 10:13:30
129,web,1,success,,2026-03-09 10:13:30
130,web,1,success,,2026-03-09 10:13:30
131,web,1,success,,2026-03-09 10:13:30
132,web,1,success,,2026-03-09 10:13:30
133,web,1,success,,2026-03-09 10:13:30
134,web,1,success,,2026-03-09 10:13:30
135,web,1,success,,2026-03-09 10:13:30
136,web,1,success,,2026-03-09 10:13:30
137,web,1,success,,2026-03-09 10:13:30
138,web,1,success,,2026-03-09 10:13:30
139,web,1,success,,2026-03-09 10:13:30
140,web,1,success,,2026-03-09 10:13:30
141,web,1,success,,2026-03-09 10:13:30
142,web,1,success,,2026-03-09 10:13:30
